Year,AlcAmt
1971,0
1981,1.07
1987,1.9
1993,1.87
1964,10.34
1995,0.05
1991,0.21
1992,0.03
1973,0.03
1995,0.83
1971,0.04
1982,0.13
1973,0.03
1966,2.13
1972,0
1986,0.5
1988,0.01
1966,3.96
1979,0.75
1967,0.69
1965,0.16
1988,0
1965,2.14
1967,0.19
1963,0.21
1982,0
1980,0
1980,0.01
1996,3.24
1993,2.46
1980,13.23
1985,7.45
1980,2.35
1963,1.74
1965,18.74
1999,0.43
1990,0
1977,3.51
1983,1.86
1969,3.3
1988,7.67
1966,3.94
1972,9.14
1998,2.58
1996,0.04
1966,0.8
1995,0.28
1966,0
1997,0.01
1996,0
1962,1.66
1994,1.78
1995,0.03
1967,2.23
1989,0.5
1975,0.15
1978,9.54
1982,0.55
1994,0.07
1965,1.72
1994,1.12
1998,0.04
1991,0
1976,13.62
1978,3.94
1970,1.58
1999,0.58
1993,13.21
1978,0.3
1981,0.02
1979,0.23
1998,2.59
1996,1.45
1992,0
1985,0
1970,0.13
1983,0.01
1996,0.07
1994,0
1978,0.55
1976,4.32
1967,3.63
1981,0
1985,0.31
1998,0.71
1982,0.17
1986,1.49
1968,1.28
1980,0.99
1987,2.71
1964,0.39
1993,4.92
1967,1.43
1965,0.04
1995,0.13
1985,11.56
1993,6.5
1996,0
1982,5.18
1976,4.48
1979,0.01
1984,0.25
1963,3.69
1999,0
1999,7.65
1963,0.37
1971,0
1968,0.04
1986,0.04
1976,9.17
1992,14.18
1974,0.17
1998,1.7
1998,0.02
1964,0.05
1966,4.37
1996,4.87
1982,0.73
1993,1.24
1963,0.06
1979,7.17
1995,3.92
1961,0
1982,1.9
1991,0.02
1998,0.16
1995,0
1992,6.29
1976,0.4
1977,3.37
1994,1.68
1964,0.01
1987,0.01
1988,0
1980,0.83
1982,1.89
1981,4.1
1983,0.59
1997,0.62
1982,0.02
1995,0.24
1993,14.17
1995,1.05
1982,0.13
1972,3.47
1982,0
1978,0.51
1996,0
1961,0.34
1986,0.85
1997,0.09
1991,1.58
1981,0.73
1979,0.94
1963,0.91
1983,7.12
1965,0.14
1980,4.44
1998,0.05
1976,2.72
1972,0.16
1963,0.03
1976,0.23
1980,13.32
1998,1.32
1972,2.08
1998,0.05
1965,0.45
1962,0.06
1978,0.01
1985,0.05
1993,0.49
1964,1.03
1995,1.82
1976,7.83
1998,0
1991,12.2
1984,5.64
1965,0
1998,0.3
1989,0.15
1999,0
1986,0
1964,0.63
1999,0.67
1966,2.89
1994,2.8
1965,0.13
1995,2.38
1996,0.01
1979,0
1969,0.03
1996,0.35
1971,0
1982,3.76
1987,0.12
1965,0
1971,2.14
1962,0
1978,0.07
1991,3.17
1976,1.11
1996,5.67
1982,0.01
1972,0.27
1967,0
1964,2.45
1989,1.04
1964,0.09
1966,0.35
1961,0.48
1983,4.81
1982,16.99
1997,0
1995,1.06
1986,0
1985,2.05
1962,10.43
1961,0
1976,7.68
1993,3.53
1995,3.6
1979,1.61
1995,4.15
1999,2.99
1996,2.81
1979,0
1970,0
1985,0.16
1974,3.82
1990,0.89
1984,0
1992,0
1996,1.41
1998,1.7
1991,0.22
1981,0
1974,0
1979,2.45
1981,0.09
1978,0.41
1961,0.69
1982,15.88
1978,0.49
1992,1.11
1973,0
1987,2.07
1981,0
1978,3.01
1962,15.17
1995,0.82
1984,0.22
1998,0
1989,0
1993,4
1995,3.35
1989,1.76
1989,0.97
1979,0.5
1996,6.45
1971,0.93
1964,0.14
1962,0.06
1998,3.58
1989,0.42
1975,0.65
1999,0
1967,1.92
1998,3.71
1991,0.01
1983,0
1964,9.84
1982,1.02
1972,3.04
1988,0
1994,1.24
1987,0.48
1968,0.7
