OBJECTID,Sample_Date,Lat_deg_,Long_deg_,Pieces_KM2,Normalized
1,2004-11-09,13.88,-61.71,0,0
2,2004-11-04,14.54,-60.61,0,0
5,2004-10-24,28.63,-58.22,0,0
6,2004-10-18,39.71,-67.97,0,0
9,2002-02-18,-14.74,-147.8,0,0
10,2002-02-18,-14.7,-147.8,0,0
16,2000-12-08,11.32,-67.08,0,0
72,2000-12-19,15.28,-72.43,0,0
76,2000-12-02,15.65,-65.51,0,0
77,2000-12-04,15.73,-65.21,0,0
98,2006-04-13,16.67,-79.33,0,0
112,2000-12-22,17.15,-80.35,0,0
117,2000-05-16,17.32,-66.41,0,0
119,2000-05-15,17.37,-65.25,0,0
140,2001-02-21,19.82,-75.51,0,0
141,2001-05-13,19.83,-65.17,0,0
152,2001-05-16,22.12,-65.82,0,0
159,2004-01-28,23.85,-81.88,0,0
166,2001-02-13,24.19,-80.66,0,0
168,2000-01-06,24.24,-81.83,0,0
174,2004-01-30,24.78,-83.3,0,0
208,2004-10-24,29.18,-58.51,0,0
211,2001-05-01,31.01,-78.76,0,0
222,2004-10-18,39.62,-66.49,0,0
250,2001-07-23,42.22,-70.26,0,0
262,2003-12-14,5.79,-147.72,0,0
263,2004-05-15,5.79,-147.72,0,0
264,2004-12-10,5.79,-147.72,0,0
265,2005-04-03,5.79,-147.72,0,0
266,2005-10-21,5.79,-147.72,0,0
267,2006-03-25,5.79,-147.72,0,0
268,2006-11-12,5.79,-147.72,0,0
269,2007-05-15,5.79,-147.72,0,0
270,2007-12-20,5.79,-147.72,0,0
271,2008-06-23,5.79,-147.72,0,0
272,2008-12-01,5.79,-147.72,0,0
273,2009-04-03,5.79,-147.72,0,0
274,2009-07-15,5.79,-147.72,0,0
275,2010-07-08,5.79,-147.72,0,0
276,2010-12-04,5.79,-147.72,0,0
277,2011-04-17,5.79,-147.72,0,0
278,2011-07-24,5.79,-147.72,0,0
279,2011-11-27,5.79,-147.72,0,0
280,2012-04-12,5.79,-147.72,0,0
281,2012-09-21,5.79,-147.72,0,0
282,2003-12-14,6.42,-148.97,0,0
283,2004-05-14,6.42,-148.97,0,0
284,2004-12-10,6.42,-148.97,0,0
285,2005-04-02,6.42,-148.97,0,0
286,2005-10-21,6.42,-148.97,0,0
287,2006-03-09,6.42,-148.97,0,0
288,2006-11-12,6.42,-148.97,0,0
289,2007-05-14,6.42,-148.97,0,0
290,2007-12-19,6.42,-148.97,0,0
291,2008-06-22,6.42,-148.97,0,0
292,2008-11-30,6.42,-148.97,0,0
293,2009-04-02,6.42,-148.97,0,0
294,2009-07-13,6.42,-148.97,0,0
295,2010-07-07,6.42,-148.97,0,0
296,2010-12-03,6.42,-148.97,0,0
297,2011-04-16,6.42,-148.97,0,0
298,2011-07-23,6.42,-148.97,0,0
299,2011-11-26,6.42,-148.97,0,0
300,2012-04-08,6.42,-148.97,0,0
301,2012-09-20,6.42,-148.97,0,0
302,2003-12-13,6.84,-149.44,0,0
303,2004-05-14,6.84,-149.44,0,0
304,2004-12-09,6.84,-149.44,0,0
305,2005-04-02,6.84,-149.44,0,0
306,2005-10-21,6.84,-149.44,0,0
307,2006-03-09,6.84,-149.44,0,0
308,2006-11-11,6.84,-149.44,0,0
309,2007-05-13,6.84,-149.44,0,0
310,2007-12-18,6.84,-149.44,0,0
311,2008-06-22,6.84,-149.44,0,0
312,2008-11-30,6.84,-149.44,0,0
313,2009-04-02,6.84,-149.44,0,0
314,2009-07-12,6.84,-149.44,0,0
315,2010-07-07,6.84,-149.44,0,0
316,2010-11-26,6.84,-149.44,0,0
317,2011-04-16,6.84,-149.44,0,0
318,2011-07-22,6.84,-149.44,0,0
319,2011-11-26,6.84,-149.44,0,0
320,2012-04-08,6.84,-149.44,0,0
321,2012-09-20,6.84,-149.44,0,0
322,2003-11-01,23.65,-149.74,0,0
323,2004-02-21,23.65,-149.74,0,0
324,2004-10-21,23.65,-149.74,0,0
325,2005-02-16,23.65,-149.74,0,0
326,2005-07-09,23.65,-149.74,0,0
327,2005-12-05,23.65,-149.74,0,0
328,2006-05-25,23.65,-149.74,0,0
329,2007-02-18,23.65,-149.74,0,0
330,2007-08-19,23.65,-149.74,0,0
331,2008-04-24,23.65,-149.74,0,0
332,2008-10-17,23.65,-149.74,0,0
333,2008-12-30,23.65,-149.74,0,0
334,2009-05-25,23.65,-149.74,0,0
335,2009-10-27,23.65,-149.74,0,0
336,2010-10-14,23.65,-149.74,0,0
337,2011-02-23,23.65,-149.74,0,0
338,2011-05-30,23.65,-149.74,0,0
339,2011-10-17,23.65,-149.74,0,0
340,2012-01-12,23.65,-149.74,0,0
341,2012-06-05,23.65,-149.74,0,0
342,2003-10-30,25.68,-143.09,0,0
343,2004-02-15,25.68,-143.09,0,0
344,2004-10-18,25.68,-143.09,0,0
345,2005-02-10,25.68,-143.09,0,0
346,2005-06-03,25.68,-143.09,0,0
347,2005-12-02,25.68,-143.09,0,0
348,2006-05-19,25.68,-143.09,0,0
349,2007-02-14,25.68,-143.09,0,0
350,2007-08-07,25.68,-143.09,0,0
351,2008-04-15,25.68,-143.09,0,0
352,2008-07-14,25.68,-143.09,0,0
353,2008-12-26,25.68,-143.09,0,0
354,2009-05-18,25.68,-143.09,0,0
355,2009-10-24,25.68,-143.09,0,0
356,2010-10-10,25.68,-143.09,0,0
357,2011-02-20,25.68,-143.09,0,0
358,2011-05-24,25.68,-143.09,0,0
359,2011-10-14,25.68,-143.09,0,0
360,2012-01-03,25.68,-143.09,0,0
361,2012-05-20,25.68,-143.09,0,0
362,2003-10-29,26.6,-142.77,0,0
363,2004-02-14,26.6,-142.77,0,0
364,2004-10-17,26.6,-142.77,0,0
365,2005-01-31,26.6,-142.77,0,0
366,2005-06-02,26.6,-142.77,0,0
367,2005-12-01,26.6,-142.77,0,0
368,2006-05-19,26.6,-142.77,0,0
369,2006-12-23,26.6,-142.77,0,0
370,2007-08-07,26.6,-142.77,0,0
371,2008-04-14,26.6,-142.77,0,0
372,2008-07-13,26.6,-142.77,0,0
373,2008-12-21,26.6,-142.77,0,0
374,2009-05-18,26.6,-142.77,0,0
375,2009-10-23,26.6,-142.77,0,0
376,2010-10-10,26.6,-142.77,0,0
377,2011-02-15,26.6,-142.77,0,0
378,2011-05-16,26.6,-142.77,0,0
379,2011-10-14,26.6,-142.77,0,0
380,2012-01-03,26.6,-142.77,0,0
381,2012-05-20,26.6,-142.77,0,0
382,2003-10-27,28.04,-140.48,0,0
383,2004-01-22,28.04,-140.48,0,0
384,2004-09-15,28.04,-140.48,0,0
385,2005-01-18,28.04,-140.48,0,0
386,2005-05-24,28.04,-140.48,0,0
387,2005-11-30,28.04,-140.48,0,0
388,2006-05-17,28.04,-140.48,0,0
389,2006-12-22,28.04,-140.48,0,0
390,2007-07-26,28.04,-140.48,0,0
391,2008-04-05,28.04,-140.48,0,0
392,2008-07-11,28.04,-140.48,0,0
393,2008-12-19,28.04,-140.48,0,0
394,2009-05-17,28.04,-140.48,0,0
395,2009-10-22,28.04,-140.48,0,0
396,2010-10-09,28.04,-140.48,0,0
397,2011-02-13,28.04,-140.48,0,0
398,2011-05-15,28.04,-140.48,0,0
399,2011-10-12,28.04,-140.48,0,0
400,2012-01-01,28.04,-140.48,0,0
401,2012-05-18,28.04,-140.48,0,0
402,2003-10-22,32.84,-147.81,0,0
403,2003-12-25,32.84,-147.81,0,0
404,2004-07-23,32.84,-147.81,0,0
405,2004-12-23,32.84,-147.81,0,0
406,2005-05-15,32.84,-147.81,0,0
407,2005-11-08,32.84,-147.81,0,0
408,2006-04-28,32.84,-147.81,0,0
409,2006-12-11,32.84,-147.81,0,0
410,2007-07-18,32.84,-147.81,0,0
411,2008-03-08,32.84,-147.81,0,0
412,2008-07-04,32.84,-147.81,0,0
413,2008-12-13,32.84,-147.81,0,0
414,2009-04-28,32.84,-147.81,0,0
415,2009-10-16,32.84,-147.81,0,0
416,2010-08-18,32.84,-147.81,0,0
417,2011-01-06,32.84,-147.81,0,0
418,2011-05-09,32.84,-147.81,0,0
419,2011-10-06,32.84,-147.81,0,0
420,2011-12-12,32.84,-147.81,0,0
421,2012-04-29,32.84,-147.81,0,0
422,2003-10-19,33.02,-152.9,0,0
423,2003-12-21,33.02,-152.9,0,0
424,2004-05-28,33.02,-152.9,0,0
425,2004-12-19,33.02,-152.9,0,0
426,2005-04-18,33.02,-152.9,0,0
427,2005-10-30,33.02,-152.9,0,0
428,2006-04-14,33.02,-152.9,0,0
429,2006-12-05,33.02,-152.9,0,0
430,2007-07-14,33.02,-152.9,0,0
431,2008-03-03,33.02,-152.9,0,0
432,2008-07-01,33.02,-152.9,0,0
433,2008-12-10,33.02,-152.9,0,0
434,2009-04-18,33.02,-152.9,0,0
435,2009-08-20,33.02,-152.9,0,0
436,2010-08-03,33.02,-152.9,0,0
437,2010-12-20,33.02,-152.9,0,0
438,2011-04-25,33.02,-152.9,0,0
439,2011-08-18,33.02,-152.9,0,0
440,2011-12-09,33.02,-152.9,0,0
441,2012-04-25,33.02,-152.9,0,0
442,2003-08-17,33.38,-156.38,0,0
443,2003-12-20,33.38,-156.38,0,0
444,2004-05-24,33.38,-156.38,0,0
445,2004-12-17,33.38,-156.38,0,0
446,2005-04-16,33.38,-156.38,0,0
447,2005-10-29,33.38,-156.38,0,0
448,2006-04-11,33.38,-156.38,0,0
449,2006-12-02,33.38,-156.38,0,0
450,2007-07-12,33.38,-156.38,0,0
451,2008-03-01,33.38,-156.38,0,0
452,2008-06-29,33.38,-156.38,0,0
453,2008-12-08,33.38,-156.38,0,0
454,2009-04-15,33.38,-156.38,0,0
455,2009-08-19,33.38,-156.38,0,0
456,2010-07-18,33.38,-156.38,0,0
457,2010-12-14,33.38,-156.38,0,0
458,2011-04-23,33.38,-156.38,0,0
459,2011-08-08,33.38,-156.38,0,0
460,2011-12-07,33.38,-156.38,0,0
461,2012-04-23,33.38,-156.38,0,0
462,2003-10-19,33.56,-152.27,0,0
463,2003-12-22,33.56,-152.27,0,0
464,2004-05-30,33.56,-152.27,0,0
465,2004-12-19,33.56,-152.27,0,0
466,2005-05-12,33.56,-152.27,0,0
467,2005-11-05,33.56,-152.27,0,0
468,2006-04-15,33.56,-152.27,0,0
469,2006-12-05,33.56,-152.27,0,0
470,2007-07-14,33.56,-152.27,0,0
471,2008-03-04,33.56,-152.27,0,0
472,2008-07-01,33.56,-152.27,0,0
473,2008-12-10,33.56,-152.27,0,0
474,2009-04-18,33.56,-152.27,0,0
475,2009-08-21,33.56,-152.27,0,0
476,2010-08-04,33.56,-152.27,0,0
477,2010-12-20,33.56,-152.27,0,0
478,2011-04-25,33.56,-152.27,0,0
479,2011-08-20,33.56,-152.27,0,0
480,2011-12-09,33.56,-152.27,0,0
481,2012-04-25,33.56,-152.27,0,0
482,2003-12-18,40.16,-157.42,0,0
483,2004-05-22,40.16,-157.42,0,0
484,2004-12-15,40.16,-157.42,0,0
485,2005-04-09,40.16,-157.42,0,0
486,2005-10-27,40.16,-157.42,0,0
487,2006-04-02,40.16,-157.42,0,0
488,2006-11-30,40.16,-157.42,0,0
489,2007-07-09,40.16,-157.42,0,0
490,2008-02-23,40.16,-157.42,0,0
491,2008-06-27,40.16,-157.42,0,0
492,2008-12-05,40.16,-157.42,0,0
493,2009-04-13,40.16,-157.42,0,0
494,2009-08-07,40.16,-157.42,0,0
495,2010-07-14,40.16,-157.42,0,0
496,2010-12-11,40.16,-157.42,0,0
497,2011-04-21,40.16,-157.42,0,0
498,2011-08-06,40.16,-157.42,0,0
499,2011-12-05,40.16,-157.42,0,0
500,2012-04-20,40.16,-157.42,0,0
501,2012-10-07,40.16,-157.42,0,0
502,2003-12-16,3.48,-143.62,0,0
503,2004-12-12,3.48,-143.62,0,0
504,2005-04-04,3.48,-143.62,0,0
505,2005-10-23,3.48,-143.62,0,0
506,2006-03-30,3.48,-143.62,0,0
507,2006-11-14,3.48,-143.62,0,0
508,2007-05-18,3.48,-143.62,0,0
509,2008-02-17,3.48,-143.62,0,0
510,2008-06-24,3.48,-143.62,0,0
511,2008-12-02,3.48,-143.62,0,0
512,2009-04-04,3.48,-143.62,0,0
513,2009-07-16,3.48,-143.62,0,0
514,2010-07-12,3.48,-143.62,0,0
515,2010-12-04,3.48,-143.62,0,0
516,2011-04-18,3.48,-143.62,0,0
517,2011-07-25,3.48,-143.62,0,0
518,2011-12-02,3.48,-143.62,0,0
