,OBJECTID,Sample_Date,Lat_deg_,Long_deg_,Pieces_KM2,Normalized,Country,Year
0,1,2004-11-09,13.88,-61.71,0,0,,2004
1,2,2004-11-04,14.54,-60.61,0,0,,2004
2,5,2004-10-24,28.63,-58.22,0,0,,2004
3,6,2004-10-18,39.71,-67.97,0,0,,2004
4,9,2002-02-18,-14.74,-147.8,0,0,France,2002
5,10,2002-02-18,-14.7,-147.8,0,0,,2002
6,16,2000-12-08,11.32,-67.08,0,0,Venezuela,2000
7,72,2000-12-19,15.28,-72.43,0,0,,2000
8,76,2000-12-02,15.65,-65.51,0,0,,2000
9,77,2000-12-04,15.73,-65.21,0,0,,2000
10,98,2006-04-13,16.67,-79.33,0,0,,2006
11,112,2000-12-22,17.15,-80.35,0,0,,2000
12,117,2000-05-16,17.32,-66.41,0,0,,2000
13,119,2000-05-15,17.37,-65.25,0,0,,2000
14,140,2001-02-21,19.82,-75.51,0,0,Cuba,2001
15,141,2001-05-13,19.83,-65.17,0,0,,2001
16,152,2001-05-16,22.12,-65.82,0,0,,2001
17,159,2004-01-28,23.85,-81.88,0,0,,2004
18,166,2001-02-13,24.19,-80.66,0,0,,2001
19,168,2000-01-06,24.24,-81.83,0,0,,2000
20,174,2004-01-30,24.78,-83.3,0,0,,2004
21,208,2004-10-24,29.18,-58.51,0,0,,2004
22,211,2001-05-01,31.01,-78.76,0,0,,2001
23,222,2004-10-18,39.62,-66.49,0,0,,2004
24,250,2001-07-23,42.22,-70.26,0,0,United States,2001
25,262,2003-12-14,5.79,-147.72,0,0,,2003
26,263,2004-05-15,5.79,-147.72,0,0,,2004
27,264,2004-12-10,5.79,-147.72,0,0,,2004
28,265,2005-04-03,5.79,-147.72,0,0,,2005
29,266,2005-10-21,5.79,-147.72,0,0,,2005
30,267,2006-03-25,5.79,-147.72,0,0,,2006
31,268,2006-11-12,5.79,-147.72,0,0,,2006
32,269,2007-05-15,5.79,-147.72,0,0,,2007
33,270,2007-12-20,5.79,-147.72,0,0,,2007
34,271,2008-06-23,5.79,-147.72,0,0,,2008
35,272,2008-12-01,5.79,-147.72,0,0,,2008
36,273,2009-04-03,5.79,-147.72,0,0,,2009
37,274,2009-07-15,5.79,-147.72,0,0,,2009
38,275,2010-07-08,5.79,-147.72,0,0,,2010
39,276,2010-12-04,5.79,-147.72,0,0,,2010
40,277,2011-04-17,5.79,-147.72,0,0,,2011
41,278,2011-07-24,5.79,-147.72,0,0,,2011
42,279,2011-11-27,5.79,-147.72,0,0,,2011
43,280,2012-04-12,5.79,-147.72,0,0,,2012
44,281,2012-09-21,5.79,-147.72,0,0,,2012
45,282,2003-12-14,6.42,-148.97,0,0,,2003
46,283,2004-05-14,6.42,-148.97,0,0,,2004
47,284,2004-12-10,6.42,-148.97,0,0,,2004
48,285,2005-04-02,6.42,-148.97,0,0,,2005
49,286,2005-10-21,6.42,-148.97,0,0,,2005
50,287,2006-03-09,6.42,-148.97,0,0,,2006
51,288,2006-11-12,6.42,-148.97,0,0,,2006
52,289,2007-05-14,6.42,-148.97,0,0,,2007
53,290,2007-12-19,6.42,-148.97,0,0,,2007
54,291,2008-06-22,6.42,-148.97,0,0,,2008
55,292,2008-11-30,6.42,-148.97,0,0,,2008
56,293,2009-04-02,6.42,-148.97,0,0,,2009
57,294,2009-07-13,6.42,-148.97,0,0,,2009
58,295,2010-07-07,6.42,-148.97,0,0,,2010
59,296,2010-12-03,6.42,-148.97,0,0,,2010
60,297,2011-04-16,6.42,-148.97,0,0,,2011
61,298,2011-07-23,6.42,-148.97,0,0,,2011
62,299,2011-11-26,6.42,-148.97,0,0,,2011
63,300,2012-04-08,6.42,-148.97,0,0,,2012
64,301,2012-09-20,6.42,-148.97,0,0,,2012
65,302,2003-12-13,6.84,-149.44,0,0,,2003
66,303,2004-05-14,6.84,-149.44,0,0,,2004
67,304,2004-12-09,6.84,-149.44,0,0,,2004
68,305,2005-04-02,6.84,-149.44,0,0,,2005
69,306,2005-10-21,6.84,-149.44,0,0,,2005
70,307,2006-03-09,6.84,-149.44,0,0,,2006
71,308,2006-11-11,6.84,-149.44,0,0,,2006
72,309,2007-05-13,6.84,-149.44,0,0,,2007
73,310,2007-12-18,6.84,-149.44,0,0,,2007
74,311,2008-06-22,6.84,-149.44,0,0,,2008
75,312,2008-11-30,6.84,-149.44,0,0,,2008
76,313,2009-04-02,6.84,-149.44,0,0,,2009
77,314,2009-07-12,6.84,-149.44,0,0,,2009
78,315,2010-07-07,6.84,-149.44,0,0,,2010
79,316,2010-11-26,6.84,-149.44,0,0,,2010
80,317,2011-04-16,6.84,-149.44,0,0,,2011
81,318,2011-07-22,6.84,-149.44,0,0,,2011
82,319,2011-11-26,6.84,-149.44,0,0,,2011
83,320,2012-04-08,6.84,-149.44,0,0,,2012
84,321,2012-09-20,6.84,-149.44,0,0,,2012
85,322,2003-11-01,23.65,-149.74,0,0,,2003
86,323,2004-02-21,23.65,-149.74,0,0,,2004
87,324,2004-10-21,23.65,-149.74,0,0,,2004
88,325,2005-02-16,23.65,-149.74,0,0,,2005
89,326,2005-07-09,23.65,-149.74,0,0,,2005
90,327,2005-12-05,23.65,-149.74,0,0,,2005
91,328,2006-05-25,23.65,-149.74,0,0,,2006
92,329,2007-02-18,23.65,-149.74,0,0,,2007
93,330,2007-08-19,23.65,-149.74,0,0,,2007
94,331,2008-04-24,23.65,-149.74,0,0,,2008
95,332,2008-10-17,23.65,-149.74,0,0,,2008
96,333,2008-12-30,23.65,-149.74,0,0,,2008
97,334,2009-05-25,23.65,-149.74,0,0,,2009
98,335,2009-10-27,23.65,-149.74,0,0,,2009
99,336,2010-10-14,23.65,-149.74,0,0,,2010
100,337,2011-02-23,23.65,-149.74,0,0,,2011
101,338,2011-05-30,23.65,-149.74,0,0,,2011
102,339,2011-10-17,23.65,-149.74,0,0,,2011
103,340,2012-01-12,23.65,-149.74,0,0,,2012
104,341,2012-06-05,23.65,-149.74,0,0,,2012
105,342,2003-10-30,25.68,-143.09,0,0,,2003
106,343,2004-02-15,25.68,-143.09,0,0,,2004
107,344,2004-10-18,25.68,-143.09,0,0,,2004
108,345,2005-02-10,25.68,-143.09,0,0,,2005
109,346,2005-06-03,25.68,-143.09,0,0,,2005
110,347,2005-12-02,25.68,-143.09,0,0,,2005
111,348,2006-05-19,25.68,-143.09,0,0,,2006
112,349,2007-02-14,25.68,-143.09,0,0,,2007
113,350,2007-08-07,25.68,-143.09,0,0,,2007
114,351,2008-04-15,25.68,-143.09,0,0,,2008
115,352,2008-07-14,25.68,-143.09,0,0,,2008
116,353,2008-12-26,25.68,-143.09,0,0,,2008
117,354,2009-05-18,25.68,-143.09,0,0,,2009
118,355,2009-10-24,25.68,-143.09,0,0,,2009
119,356,2010-10-10,25.68,-143.09,0,0,,2010
120,357,2011-02-20,25.68,-143.09,0,0,,2011
121,358,2011-05-24,25.68,-143.09,0,0,,2011
122,359,2011-10-14,25.68,-143.09,0,0,,2011
123,360,2012-01-03,25.68,-143.09,0,0,,2012
124,361,2012-05-20,25.68,-143.09,0,0,,2012
125,362,2003-10-29,26.6,-142.77,0,0,,2003
126,363,2004-02-14,26.6,-142.77,0,0,,2004
127,364,2004-10-17,26.6,-142.77,0,0,,2004
128,365,2005-01-31,26.6,-142.77,0,0,,2005
129,366,2005-06-02,26.6,-142.77,0,0,,2005
130,367,2005-12-01,26.6,-142.77,0,0,,2005
131,368,2006-05-19,26.6,-142.77,0,0,,2006
132,369,2006-12-23,26.6,-142.77,0,0,,2006
133,370,2007-08-07,26.6,-142.77,0,0,,2007
134,371,2008-04-14,26.6,-142.77,0,0,,2008
135,372,2008-07-13,26.6,-142.77,0,0,,2008
136,373,2008-12-21,26.6,-142.77,0,0,,2008
137,374,2009-05-18,26.6,-142.77,0,0,,2009
138,375,2009-10-23,26.6,-142.77,0,0,,2009
139,376,2010-10-10,26.6,-142.77,0,0,,2010
140,377,2011-02-15,26.6,-142.77,0,0,,2011
141,378,2011-05-16,26.6,-142.77,0,0,,2011
142,379,2011-10-14,26.6,-142.77,0,0,,2011
143,380,2012-01-03,26.6,-142.77,0,0,,2012
144,381,2012-05-20,26.6,-142.77,0,0,,2012
145,382,2003-10-27,28.04,-140.48,0,0,,2003
146,383,2004-01-22,28.04,-140.48,0,0,,2004
147,384,2004-09-15,28.04,-140.48,0,0,,2004
148,385,2005-01-18,28.04,-140.48,0,0,,2005
149,386,2005-05-24,28.04,-140.48,0,0,,2005
150,387,2005-11-30,28.04,-140.48,0,0,,2005
151,388,2006-05-17,28.04,-140.48,0,0,,2006
152,389,2006-12-22,28.04,-140.48,0,0,,2006
153,390,2007-07-26,28.04,-140.48,0,0,,2007
154,391,2008-04-05,28.04,-140.48,0,0,,2008
155,392,2008-07-11,28.04,-140.48,0,0,,2008
156,393,2008-12-19,28.04,-140.48,0,0,,2008
157,394,2009-05-17,28.04,-140.48,0,0,,2009
158,395,2009-10-22,28.04,-140.48,0,0,,2009
159,396,2010-10-09,28.04,-140.48,0,0,,2010
160,397,2011-02-13,28.04,-140.48,0,0,,2011
161,398,2011-05-15,28.04,-140.48,0,0,,2011
162,399,2011-10-12,28.04,-140.48,0,0,,2011
163,400,2012-01-01,28.04,-140.48,0,0,,2012
164,401,2012-05-18,28.04,-140.48,0,0,,2012
165,402,2003-10-22,32.84,-147.81,0,0,,2003
166,403,2003-12-25,32.84,-147.81,0,0,,2003
167,404,2004-07-23,32.84,-147.81,0,0,,2004
168,405,2004-12-23,32.84,-147.81,0,0,,2004
169,406,2005-05-15,32.84,-147.81,0,0,,2005
170,407,2005-11-08,32.84,-147.81,0,0,,2005
171,408,2006-04-28,32.84,-147.81,0,0,,2006
172,409,2006-12-11,32.84,-147.81,0,0,,2006
173,410,2007-07-18,32.84,-147.81,0,0,,2007
174,411,2008-03-08,32.84,-147.81,0,0,,2008
175,412,2008-07-04,32.84,-147.81,0,0,,2008
176,413,2008-12-13,32.84,-147.81,0,0,,2008
177,414,2009-04-28,32.84,-147.81,0,0,,2009
178,415,2009-10-16,32.84,-147.81,0,0,,2009
179,416,2010-08-18,32.84,-147.81,0,0,,2010
180,417,2011-01-06,32.84,-147.81,0,0,,2011
181,418,2011-05-09,32.84,-147.81,0,0,,2011
182,419,2011-10-06,32.84,-147.81,0,0,,2011
183,420,2011-12-12,32.84,-147.81,0,0,,2011
184,421,2012-04-29,32.84,-147.81,0,0,,2012
185,422,2003-10-19,33.02,-152.9,0,0,,2003
186,423,2003-12-21,33.02,-152.9,0,0,,2003
187,424,2004-05-28,33.02,-152.9,0,0,,2004
188,425,2004-12-19,33.02,-152.9,0,0,,2004
189,426,2005-04-18,33.02,-152.9,0,0,,2005
190,427,2005-10-30,33.02,-152.9,0,0,,2005
191,428,2006-04-14,33.02,-152.9,0,0,,2006
192,429,2006-12-05,33.02,-152.9,0,0,,2006
193,430,2007-07-14,33.02,-152.9,0,0,,2007
194,431,2008-03-03,33.02,-152.9,0,0,,2008
195,432,2008-07-01,33.02,-152.9,0,0,,2008
196,433,2008-12-10,33.02,-152.9,0,0,,2008
197,434,2009-04-18,33.02,-152.9,0,0,,2009
198,435,2009-08-20,33.02,-152.9,0,0,,2009
199,436,2010-08-03,33.02,-152.9,0,0,,2010
200,437,2010-12-20,33.02,-152.9,0,0,,2010
201,438,2011-04-25,33.02,-152.9,0,0,,2011
202,439,2011-08-18,33.02,-152.9,0,0,,2011
203,440,2011-12-09,33.02,-152.9,0,0,,2011
204,441,2012-04-25,33.02,-152.9,0,0,,2012
205,442,2003-08-17,33.38,-156.38,0,0,,2003
206,443,2003-12-20,33.38,-156.38,0,0,,2003
207,444,2004-05-24,33.38,-156.38,0,0,,2004
208,445,2004-12-17,33.38,-156.38,0,0,,2004
209,446,2005-04-16,33.38,-156.38,0,0,,2005
210,447,2005-10-29,33.38,-156.38,0,0,,2005
211,448,2006-04-11,33.38,-156.38,0,0,,2006
212,449,2006-12-02,33.38,-156.38,0,0,,2006
213,450,2007-07-12,33.38,-156.38,0,0,,2007
214,451,2008-03-01,33.38,-156.38,0,0,,2008
215,452,2008-06-29,33.38,-156.38,0,0,,2008
216,453,2008-12-08,33.38,-156.38,0,0,,2008
217,454,2009-04-15,33.38,-156.38,0,0,,2009
218,455,2009-08-19,33.38,-156.38,0,0,,2009
219,456,2010-07-18,33.38,-156.38,0,0,,2010
220,457,2010-12-14,33.38,-156.38,0,0,,2010
221,458,2011-04-23,33.38,-156.38,0,0,,2011
222,459,2011-08-08,33.38,-156.38,0,0,,2011
223,460,2011-12-07,33.38,-156.38,0,0,,2011
224,461,2012-04-23,33.38,-156.38,0,0,,2012
225,462,2003-10-19,33.56,-152.27,0,0,,2003
226,463,2003-12-22,33.56,-152.27,0,0,,2003
227,464,2004-05-30,33.56,-152.27,0,0,,2004
228,465,2004-12-19,33.56,-152.27,0,0,,2004
229,466,2005-05-12,33.56,-152.27,0,0,,2005
230,467,2005-11-05,33.56,-152.27,0,0,,2005
231,468,2006-04-15,33.56,-152.27,0,0,,2006
232,469,2006-12-05,33.56,-152.27,0,0,,2006
233,470,2007-07-14,33.56,-152.27,0,0,,2007
234,471,2008-03-04,33.56,-152.27,0,0,,2008
235,472,2008-07-01,33.56,-152.27,0,0,,2008
236,473,2008-12-10,33.56,-152.27,0,0,,2008
237,474,2009-04-18,33.56,-152.27,0,0,,2009
238,475,2009-08-21,33.56,-152.27,0,0,,2009
239,476,2010-08-04,33.56,-152.27,0,0,,2010
240,477,2010-12-20,33.56,-152.27,0,0,,2010
241,478,2011-04-25,33.56,-152.27,0,0,,2011
242,479,2011-08-20,33.56,-152.27,0,0,,2011
243,480,2011-12-09,33.56,-152.27,0,0,,2011
244,481,2012-04-25,33.56,-152.27,0,0,,2012
245,482,2003-12-18,40.16,-157.42,0,0,,2003
246,483,2004-05-22,40.16,-157.42,0,0,,2004
247,484,2004-12-15,40.16,-157.42,0,0,,2004
248,485,2005-04-09,40.16,-157.42,0,0,,2005
249,486,2005-10-27,40.16,-157.42,0,0,,2005
250,487,2006-04-02,40.16,-157.42,0,0,,2006
251,488,2006-11-30,40.16,-157.42,0,0,,2006
252,489,2007-07-09,40.16,-157.42,0,0,,2007
253,490,2008-02-23,40.16,-157.42,0,0,,2008
