Label,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Bulgaria, males",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10825,10883,10990,11665,11350,14066,13626,13906,13610,14012,14449,14967,15128,15227,15710,16232,16078,15607,16479,17278,17327
"Belarus, males",7364,7650,7933,8368,8792,9082,9524,10019,10723,11308,11863,12400,12641,13370,13917,14131,14735,14755,15347,15464,15778,15513,15416,15582,15420,15586,16473,16116,16319,16971,17407,17771,18275,18688,18718,-
"Canada, males*",-,-,-,-,-,32361,33934,34867,35699,37344,38695,39294,41090,43279,45543,47662,47213,45995,47146,48577,50241,52764,53799,56009,55098,55603,57693,59209,61467,63965,63968,65006,65170,67953,66554,-
"Chile, males*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,360,422,417,419,423,468,462,448,507,458,496,476,450,505,468,-
"China, males*",-,-,-,-,-,-,-,-,-,-,18957,19485,20036,19875,20379,19674,19907,19865,20673,21078,21222,21703,22152,22430,22795,22566,23882,23603,24380,24404,25857,26542,27094,27299,27826,-
"Colombia, males*",-,-,-,-,-,630,620,582,645,834,805,838,955,929,989,982,1102,1192,1139,1306,1362,1495,1557,1684,1667,1756,1802,1916,2066,2050,1966,2037,2088,2088,2130,-
"Costa Rica, males",-,-,-,-,1349,1395,1405,1375,1382,1371,1414,1531,1485,1599,1623,1637,1851,2137,2258,2241,2492,2729,2651,2889,2892,3272,3255,3297,3229,3429,3607,3735,3868,3537,-,-
"Croatia, males",-,-,-,-,-,-,-,-,-,-,7971,8036,8377,7421,7787,8376,8183,8852,8743,9047,8653,11557,10745,10588,10938,10896,10741,11582,11217,11454,11539,12143,11896,11999,11910,-
"Czechia, males",-,-,-,-,-,17307,17532,17656,17853,18794,19000,19403,19235,20350,20424,20738,21299,21568,23063,22975,23230,23365,23363,23672,24978,25762,26433,27465,27161,27941,28494,29562,30724,30321,30439,29980
"Denmark, males",10162,10219,10510,10391,10655,11031,10889,11049,10921,11503,11543,11228,11101,11301,11595,11543,11766,11505,11692,12024,12401,12606,12824,12897,13256,13725,14915,15491,16018,16617,17436,18019,17674,18360,18819,18670
"Ecuador, males*",-,-,-,-,-,-,-,470,473,456,501,547,499,493,608,563,602,596,640,741,779,708,813,924,970,989,975,1164,1130,1186,1256,1155,1323,1454,1468,-
"Estonia, males",1617,1681,1724,1782,1755,1816,1915,2002,1955,2098,2182,2177,2247,2389,2434,2547,2412,2574,2622,2599,2650,2607,2641,2678,2737,2889,3102,2943,3347,3360,3346,3416,3631,3757,3665,-
"France, males*",-,-,-,-,-,-,-,-,-,-,9721,10263,10711,10588,11480,11674,11655,12063,12463,12659,13075,13481,14143,14496,15398,16207,17518,17614,17669,18094,17835,17716,17707,18011,14409,-
"Germany, males*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7586,7765,7632,7598,8267,8115,8216,8332,8444,8593,8769,8921,8743,8911,8389,-
"Iceland, males",299,324,325,340,344,406,356,392,389,409,421,465,446,451,435,413,494,522,522,562,539,543,554,608,554,628,716,622,749,723,768,749,708,725,755,760
"India, males*",-,-,-,-,-,1062,1083,1116,1227,1319,1505,1463,1495,1551,1573,1575,1626,1684,1700,1782,1815,1922,1997,1982,2034,2142,2179,2282,2355,2476,2513,2601,2582,2665,2694,-
"Australia, males",-,-,-,-,25307,25839,26947,28184,28546,30217,31086,32396,34051,35403,37644,41267,44211,43855,43112,43454,43773,45106,46538,47897,49696,51458,54912,56762,58786,61857,64239,65867,65870,66985,68456,68099
"Ireland, males",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6275,6192,6335,6547,6665,6830,7182,7481,7896,7925,8583,8478,8810,9470,9728,10240,10574,11084,11076,-
"Israel, males",3474,3799,3905,3838,4041,3933,4388,4525,4550,4703,4959,5447,6145,6509,7107,7468,7998,8504,8391,8801,9402,9466,9783,10460,10414,10938,11340,11596,12085,12672,12452,12409,12665,12444,12969,-
"Italy, males*",-,-,-,-,-,-,-,-,-,-,4427,4880,5012,5454,5597,6656,6854,6936,7407,7233,7580,7911,7941,8375,8472,9104,9200,9207,9738,9547,9530,9636,9542,9343,9096,-
"Japan, males*",-,-,-,-,-,-,-,-,-,-,21403,22469,23324,23573,24591,25824,26949,27951,28418,28939,30290,31017,32203,32799,33040,35691,36345,38040,40229,42569,42781,44893,46729,-,-,-
"Republic of Korea, males",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24766,24544,27392,27889,28914,30645,33384,34824,37047,40045,42904,44973,47750,48492,-
"Kuwait: Kuwaiti, males",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,217,280,300,265,298,279,319,361,295,380,440,426,404,459,-
"Latvia, males",-,-,-,-,-,2717,2904,2951,3007,3251,3286,3254,3454,3472,3619,3402,3478,3603,3654,3655,3971,3999,3946,4040,4123,4177,4552,4624,4673,4622,4464,4667,4999,4996,4915,-
"Lithuania, males",3314,3611,3752,3723,3817,4158,4146,3935,4489,4477,4551,4221,4634,4848,4894,5560,5506,5615,5907,5965,6018,6259,6274,6608,6983,7400,7536,7430,8758,9420,9262,8716,8261,8397,8382,-
"Malta, males",-,-,-,-,-,-,-,-,-,-,-,-,-,-,456,513,578,576,564,587,577,584,565,613,637,651,648,754,747,731,860,862,953,939,858,987
"The Netherlands, males",-,-,-,-,-,-,-,-,-,-,-,28342,28787,29541,30689,30870,32081,32549,33245,32974,33288,33742,34200,34489,35522,36903,39367,39238,40531,41829,43280,44420,45845,47694,47183,46155
"New Zealand, males",-,-,-,-,-,5319,5335,5199,5393,5572,5959,5992,5895,5937,6292,6878,8144,8541,8420,8256,8785,8992,9511,9546,9369,9714,9749,9383,9587,10221,10333,10997,10930,10902,11215,-
"Norway, males",7212,7061,7330,7642,7820,7977,8089,8229,8416,8258,8423,8805,9020,9053,9601,9800,9878,9970,10181,10427,10696,10754,10888,11022,11000,11937,12621,12532,12761,13652,13835,14083,14282,15322,15634,15681
"Poland, males*",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2108,2501,2585,2470,2680,2462,2465,2491,2317,2337,2428,2553,2592,2513,2630,-
