Year,MedianAge
1970,21.90160018
1971,22.08393976
1972,22.26627934
1973,22.44861892
1974,22.6309585
1975,22.81329808
1976,22.99563766
1977,23.17797724
1978,23.36031682
1979,23.5426564
1980,23.72499598
1981,23.90733556
1982,24.08967514
1983,24.27201472
1984,24.4543543
1985,24.63669388
1986,24.81903346
1987,25.00137304
1988,25.18371262
1989,25.3660522
1990,25.54839178
1991,25.73073136
1992,25.91307094
1993,26.09541052
1994,26.2777501
1995,26.46008968
1996,26.64242926
1997,26.82476884
1998,27.00710842
1999,27.189448
2000,27.37178758
2001,27.55412715
2002,27.73646673
2003,27.91880631
2004,28.10114589
2005,28.28348547
2006,28.46582505
2007,28.64816463
2008,28.83050421
2009,29.01284379
2010,29.19518337
2011,29.37752295
2012,29.55986253
2013,29.74220211
2014,29.92454169
2015,30.10688127
2016,30.28922085
2017,30.47156043
2018,30.65390001
2019,30.83623959
2020,31.01857917
2021,31.20091875
