Year,Bulgaria,Belarus,Canada*,Chile*,China*,Colombia*,Costa Rica,Croatia,Czechia,Denmark,Ecuador*,Estonia,France*,Germany*,Iceland,India*,Australia,Ireland,Israel,Italy*,Japan*,Republic of Korea,Kuwait: Kuwaiti,Latvia,Lithuania,Malta,The Netherlands,New Zealand,Norway,Poland*,Slovakia,Slovenia,Spain*,Sweden,Switzerland*,Brazil*,Thailand*,Turkey*,Uganda*,Ukraine,UK,USA
1978,0,1154,0,0,0,0,0,0,0,2481,0,338,0,0,73,0,0,0,979,0,0,0,0,0,512,0,0,0,1476,0,889,447,0,3992,0,0,0,0,0,0,20228,24758
1979,0,1243,0,0,0,0,0,0,0,2312,0,314,0,0,68,0,0,0,973,0,0,0,0,0,626,0,0,0,1547,0,911,481,0,4235,0,0,0,0,0,0,20166,25336
1980,0,1310,0,0,0,0,0,0,0,2257,0,355,0,0,75,0,0,0,1076,0,0,0,0,0,657,0,0,0,1605,0,967,519,0,4024,0,0,0,0,0,0,21188,25925
1981,0,1332,0,0,0,0,0,0,0,2447,0,331,0,0,87,0,0,0,1028,0,0,0,0,0,645,0,0,0,1502,0,927,508,0,4120,0,0,0,0,0,0,21333,27041
1982,0,1426,0,0,0,0,217,0,0,2515,0,372,0,0,83,0,5313,0,1203,0,0,0,0,0,682,0,0,0,1616,0,1002,513,0,4025,0,0,0,0,0,0,21742,27611
1983,0,1484,7922,0,0,150,237,0,3004,2666,0,342,0,0,81,212,5376,0,1086,0,0,0,0,579,701,0,0,1181,1635,0,981,494,0,4037,0,0,0,0,0,0,21867,29296
1984,0,1609,8284,0,0,155,230,0,3165,2568,0,427,0,0,84,236,5713,0,1251,0,0,0,0,621,735,0,0,1299,1698,0,1069,526,0,4096,0,0,0,0,0,0,21843,30517
1985,0,1641,8776,0,0,146,224,0,3096,2602,81,377,0,0,96,241,5920,0,1219,0,0,0,0,621,667,0,0,1191,1752,0,1095,555,0,4242,0,0,0,0,0,0,24053,32657
1986,0,1743,8581,0,0,170,239,0,3197,2737,94,401,0,0,88,262,6086,0,1289,0,0,0,0,611,807,0,0,1369,1793,0,1141,615,0,4345,0,0,0,0,0,0,23880,33819
1987,0,1894,9101,0,0,200,240,0,3502,2785,112,407,0,0,115,269,6706,0,1258,0,0,0,0,705,798,0,0,1335,1688,0,1186,652,0,4578,0,0,0,0,0,0,24849,36574
1988,0,1810,10191,0,2072,209,266,1267,3323,2934,106,410,2459,0,127,309,6735,0,1407,932,2260,0,0,707,800,0,0,1451,1773,0,1204,684,0,4683,0,0,0,0,0,0,25160,36567
1989,0,1869,10283,0,2190,240,297,1356,3485,2923,115,442,2693,0,115,310,7181,0,1583,1062,2513,0,0,627,784,0,7693,1614,1775,0,1267,663,0,4838,0,0,0,0,0,0,26727,35512
1990,0,2140,10550,0,2400,222,264,1462,3415,2809,125,441,2704,0,111,303,7436,0,2115,1139,2575,0,0,663,762,0,8240,1685,1828,0,1206,704,0,5284,0,0,0,0,0,0,27518,36786
1991,0,2140,11385,0,2403,262,306,1300,3759,3024,106,463,2844,0,81,302,8042,0,2180,1188,2476,0,0,696,837,0,8586,1613,1951,0,1394,633,0,5152,0,0,0,0,40,0,29227,37717
1992,0,2304,11759,0,2411,248,322,1416,3951,3345,132,425,2902,0,106,299,8022,0,2313,1326,2519,0,0,781,847,206,9308,1616,1953,0,1442,731,0,4920,0,0,0,0,39,0,29622,38491
1993,2716,2485,11565,0,2411,241,372,1564,4090,3104,106,454,2966,0,109,333,8791,0,2486,1427,2762,0,0,722,1056,185,9559,1606,1945,0,1445,743,3001,4837,0,156,293,0,40,0,28835,38062
1994,2838,2388,11800,0,2475,297,340,1675,4619,3181,141,498,3146,0,129,355,9756,1539,2455,1390,2813,0,0,800,1037,181,9992,1843,2003,0,1499,737,3028,5354,0,164,320,0,39,0,29505,39120
1995,2918,2512,12025,0,2686,271,387,1806,4539,3239,153,491,3095,0,117,358,10088,1557,2678,1508,2990,0,0,787,1021,172,9567,1829,2111,0,1478,798,3117,5265,0,173,354,0,35,0,30215,40028
1996,3041,2662,12301,0,2930,254,431,1810,4524,3433,127,556,3149,0,98,386,9749,1630,2730,1721,3085,0,0,852,1191,182,9909,1882,2342,0,1683,860,3210,5349,0,167,402,0,46,0,30817,40657
1997,3045,2599,13122,0,3038,350,426,1926,4536,3406,143,537,3526,0,142,441,10214,1666,2952,1825,3368,0,0,857,1174,207,10000,1956,2388,0,1658,930,3359,5416,0,214,388,0,60,0,32569,42763
1998,3115,3020,13473,45,3094,317,550,1898,4694,3537,187,558,3440,2121,143,428,10761,1738,3272,1954,3601,0,94,932,1167,207,10370,2083,2412,325,1730,940,3568,5726,1631,217,502,725,56,0,33033,44033
1999,3189,2832,14086,60,3375,413,563,2618,5026,3655,167,559,3629,2078,145,478,10689,1795,3330,1964,3617,3091,105,968,1262,211,11291,2257,2389,406,1818,1019,3639,5860,1659,216,473,707,62,0,34162,44870
2000,3177,2725,13702,63,3639,434,593,2068,4916,3721,203,539,3842,2110,171,468,11421,1906,3375,1992,3868,3138,114,933,1317,214,11291,2322,2506,440,1823,961,3732,5914,1741,279,572,851,75,0,33900,44292
2001,3463,2900,13922,64,3884,489,632,2300,5121,3820,211,589,4037,2167,147,541,11852,2036,3268,1954,3947,3747,103,904,1257,201,11779,2311,2608,450,1807,1001,3772,6020,1747,254,602,893,72,0,34416,45064
2002,3414,3051,14618,69,3927,486,633,2110,5432,4055,198,609,4210,2330,150,572,12109,2180,3428,1937,4026,4238,135,952,1220,197,11737,2366,2695,460,1902,1058,4039,6132,1717,294,609,1025,53,0,34259,44921
2003,3605,3163,14082,68,4058,497,699,2312,5827,3902,223,619,4459,2128,158,620,11886,2229,3289,2077,4275,4409,132,926,1363,220,11925,2335,2706,403,1980,1106,4053,6358,1759,325,695,1052,81,16010,36136,42263
2004,3635,3367,14544,74,4486,478,744,2222,5633,3898,229,627,4574,2093,168,676,12229,2191,3385,2052,4565,4793,142,1037,1307,221,12227,2349,2776,386,2120,1108,4081,6377,1783,347,729,1139,105,16292,36178,43059
2005,3640,3284,14992,74,4498,546,759,2363,5564,3955,288,576,4433,2094,171,716,12303,2212,3486,1998,4908,5162,177,959,1326,258,12188,2486,2801,424,2160,1111,4153,6318,1767,332,783,1188,85,16707,37072,43561
2006,3670,3321,15266,77,4789,599,799,2286,5839,4138,280,612,4413,2244,173,696,12739,2268,3462,2112,5258,5468,166,1061,1431,257,12663,2571,2707,415,2271,1144,4300,6341,1880,336,802,1280,104,16369,36927,43512
2007,3625,3480,15689,84,4791,622,844,2700,6488,4132,289,681,4392,2321,182,697,12684,2494,3615,2114,5868,5992,174,1048,1368,264,13112,2577,2715,418,2355,1173,4457,6317,1822,370,840,1315,108,16497,36877,44502
2008,3754,3507,16020,74,4972,628,913,2591,6308,4787,273,651,4668,2482,206,699,13694,2810,3707,2394,5648,6469,188,1055,1536,247,13335,2728,2732,425,2525,1165,4622,6422,1874,365,925,1568,114,16759,38198,45242
