Yearly Microplastics Emission,Mean BMI (female),AlcAmt,Cig/Adult,MedianAge,FirstChildAge,Reproductive Life Span
1400,23.26717039,747.23,2408.999965,23.72499598,24.74,35.78593799
1500,23.37292492,784.31,2609.750035,23.90733556,25,35.82304426
1800,23.4513683,787.02,2701.000035,24.08967514,25.13333333,35.86015053
2000,23.54795039,796.57,2536.750017,24.27201472,25.36666667,35.8972568
2200,23.6482478,796.565,2682.749965,24.4543543,25.25,35.93436306
2500,23.74755116,803.46,2719.250017,24.63669388,25.35714286,35.97146933
2700,23.83798751,794.255,2609.750035,24.81903346,25.56,36.0085756
3000,23.90920141,796.815,2682.750052,25.00137304,25.74,36.04568187
3200,23.97668658,830.715,2628.000018,25.18371262,25.9,36.08278814
3500,24.04319011,841.48,2591.499965,25.3660522,25.5,36.11989441
3900,24.13238459,841.595,2518.500035,25.54839178,25.69090909,36.15700067
4100,24.25229343,815.865,2591.499965,25.73073136,25.87,36.19410694
4500,24.34349731,817.515,2555,25.91307094,25.96923077,36.23121321
4900,24.43561535,802.355,2518.500035,26.09541052,26.23071429,36.26831948
5200,24.51936293,779.05,2518.500035,26.2777501,25.92941176,36.30542575
5600,24.62389028,774.345,2427.249948,26.46008968,25.56083333,36.34253202
6000,24.71063749,781.1915,2299.50007,26.64242926,25.75130435,36.37963828
6500,24.78556636,780.035,2262.99993,26.82476884,25.94217391,36.41674455
6900,24.86067298,872.815,2208.249983,27.00710842,26.13153846,36.45385082
7500,24.94038183,888.1325,2226.499965,27.189448,26.15,36.49095709
7900,24.99903054,896.955,2153.500035,27.37178758,26.21655172,36.52806336
8400,25.04688609,884.87,2080.49993,27.55412715,26.30103448,36.56516962
9000,25.14280194,877.19,2153.500035,27.73646673,26.45785714,36.60227589
9600,25.21716269,884.1325,2080.49993,27.91880631,26.6539947,36.63938216
10300,25.27945328,870.575,2043.999965,28.10114589,26.90185424,36.67648843
10900,25.3422777,872.455,2043.999965,28.28348547,27.07707275,36.7135947
11600,25.41836489,866.08,2080.49993,28.46582505,27.28236821,36.75070097
12400,25.52872178,869.49,2190,28.64816463,27.41232315,36.78780723
13200,25.5828618,887.764025,2226.499965,28.83050421,27.52032258,36.8249135
14000,25.65793336,886.719635,2135.249965,29.01284379,27.72090909,36.86201977
14900,25.73984384,881.129305,2043.999965,29.19518337,27.93360396,36.89912604
