Yearly Microplastics Emission Z,Mean BMI Z,AlcAmt Z,Cig/Adult Z,MedianAge Z,FirstChildAge Z,Reproductive Life Span Z
-1.285910264,-1.762482377,-1.919893801,0.159558492,-1.677050985,-1.717135892,-1.677050988
-1.260632383,-1.618316766,-1.085392667,1.023201419,-1.565247586,-1.397585037,-1.565247584
-1.18479874,-1.511381982,-1.024402967,1.415766248,-1.453444187,-1.233712808,-1.45344418
-1.134242979,-1.379720331,-0.809476165,0.709149477,-1.341640788,-0.946936391,-1.341640776
-1.083687217,-1.242993919,-0.809588692,1.337252981,-1.229837389,-1.090324599,-1.229837401
-1.007853574,-1.107622606,-0.654413792,1.494279137,-1.118033989,-0.958641551,-1.118033997
-0.957297812,-0.984338888,-0.861576223,1.023201419,-1.00623059,-0.709321657,-1.006230593
-0.88146417,-0.887259402,-0.803962336,1.337253356,-0.894427191,-0.488094141,-0.894427189
-0.830908408,-0.795262957,-0.041028452,1.101714311,-0.782623792,-0.291447461,-0.782623785
-0.755074765,-0.704604693,0.201242441,0.944688151,-0.670820393,-0.783064162,-0.67082038
-0.653963241,-0.583013904,0.203830564,0.630636589,-0.559016994,-0.548428919,-0.559017006
-0.60340748,-0.419552999,-0.375234003,0.944688151,-0.447213595,-0.328318714,-0.447213602
-0.502295956,-0.295222976,-0.338100053,0.78766237,-0.335410195,-0.206359954,-0.335410198
-0.401184432,-0.169646762,-0.679282286,0.630636589,-0.223606796,0.115014209,-0.223606794
-0.32535079,-0.05548124,-1.203771199,0.630636589,-0.111803397,-0.25529918,-0.11180339
-0.224239266,0.087011467,-1.309659221,0.238071385,1.98E-09,-0.708297459,1.46E-08
-0.123127742,0.205266114,-1.155575833,-0.311518852,0.111803401,-0.474200623,0.111803389
0.003261662,0.307409883,-1.181603356,-0.468545387,0.2236068,-0.239613965,0.223606793
0.104373186,0.409795963,0.906449912,-0.704084057,0.335410199,-0.006877027,0.335410197
0.256040471,0.518455848,1.251176748,-0.625571168,0.447213599,0.015812976,0.447213601
0.357151995,0.598406344,1.449730854,-0.939622731,0.559016998,0.097607819,0.559017005
0.483541399,0.663643499,1.177752802,-1.253675046,0.670820391,0.201440658,0.670820379
0.635208685,0.794396925,1.004911143,-0.939622731,0.78262379,0.394182255,0.782623784
0.78687597,0.895766228,1.161155051,-1.253675046,0.894427189,0.635243505,0.894427188
0.963821136,0.980681371,0.856037761,-1.410700828,1.006230588,0.939873228,1.006230592
1.115488422,1.066324235,0.898347959,-1.410700828,1.118033987,1.155224092,1.118033996
1.292433588,1.170047038,0.754875879,-1.253675046,1.229837386,1.407540784,1.2298374
1.494656635,1.320486632,0.831619376,-0.782596949,1.341640785,1.567260831,1.341640775
1.696879683,1.394290837,1.242884062,-0.625571168,1.453444185,1.699996639,1.453444179
1.89910273,1.496629123,1.219379622,-1.018135998,1.565247584,1.946525835,1.565247583
2.126603658,1.608290292,1.093566873,-1.410700828,1.677050983,2.20793671,1.677050987
