Year,Accumulated ocean plastic: Microplastics (<0.5cm),Yearly Microplastics Emission
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,100,100
1955,100,0
1956,200,100
1957,200,0
1958,300,100
1959,400,100
1960,600,200
1961,700,100
1962,900,200
1963,1200,300
1964,1500,300
1965,1800,300
1966,2200,400
1967,2700,500
1968,3300,600
1969,3900,600
1970,4700,800
1971,5600,900
1972,6600,1000
1973,7900,1300
1974,9300,1400
1975,10800,1500
1976,12600,1800
1977,14600,2000
1978,16800,2200
1979,19300,2500
1980,22000,2700
1981,25000,3000
1982,28200,3200
1983,31700,3500
1984,35600,3900
1985,39700,4100
1986,44200,4500
1987,49100,4900
1988,54300,5200
1989,59900,5600
1990,65900,6000
1991,72400,6500
1992,79300,6900
1993,86800,7500
1994,94700,7900
1995,103100,8400
1996,112100,9000
1997,121700,9600
1998,132000,10300
1999,142900,10900
2000,154500,11600
2001,166900,12400
2002,180100,13200
2003,194100,14000
2004,209000,14900
2005,224700,15700
2006,241400,16700
2007,259200,17800
2008,277900,18700
2009,297700,19800
2010,318500,20800
2011,340400,21900
2012,363400,23000
2013,387600,24200
2014,413100,25500
2015,439800,26700
2016,467800,28000
2017,497200,29400
2018,528000,30800
2019,560200,32200
2020,594000,33800
2021,629300,35300
2022,666300,37000
2023,704900,38600
2024,745200,40300
2025,787300,42100
2026,831300,44000
2027,877200,45900
2028,925000,47800
2029,974900,49900
2030,1027000,52100
2031,1081200,54200
2032,1137700,56500
2033,1196600,58900
2034,1257900,61300
2035,1321700,63800
2036,1388200,66500
2037,1457300,69100
2038,1529300,72000
2039,1604200,74900
2040,1682100,77900
2041,1763100,81000
2042,1847300,84200
2043,1934900,87600
2044,2026000,91100
2045,2120700,94700
2046,2219100,98400
2047,2321300,102200
2048,2427600,106300
2049,2538000,110400
2050,2652700,114700
