Label,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bulgaria,,,,,,,,,,,,,,,,2716,2838,2918,3041,3045,3115,3189,3177,3463,3414,3605,3635,3640,3670,3625,3754,3743,3617,3852,3821,3872
Belarus,1154,1243,1310,1332,1426,1484,1609,1641,1743,1894,1810,1869,2140,2140,2304,2485,2388,2512,2662,2599,3020,2832,2725,2900,3051,3163,3367,3284,3321,3480,3507,3646,3783,3766,3802,-
Canada*,-,-,-,-,-,7922,8284,8776,8581,9101,10191,10283,10550,11385,11759,11565,11800,12025,12301,13122,13473,14086,13702,13922,14618,14082,14544,14992,15266,15689,16020,16755,17455,17934,17638,-
Chile*,,,,,,,,,,,,,,,,-,-,-,-,-,45,60,63,64,69,68,74,74,77,84,74,74,66,112,79,-
China*,-,-,-,-,-,-,-,-,-,-,2072,2190,2400,2403,2411,2411,2475,2686,2930,3038,3094,3375,3639,3884,3927,4058,4486,4498,4789,4791,4972,5266,5390,5934,6110,-
Colombia*,-,-,-,-,-,150,155,146,170,200,209,240,222,262,248,241,297,271,254,350,317,413,434,489,486,497,478,546,599,622,628,559,576,602,607,-
Costa Rica,-,-,-,-,217,237,230,224,239,240,266,297,264,306,322,372,340,387,431,426,550,563,593,632,633,699,744,759,799,844,913,907,972,1051,-,-
Croatia,-,-,-,-,-,-,-,-,-,-,1267,1356,1462,1300,1416,1564,1675,1806,1810,1926,1898,2618,2068,2300,2110,2312,2222,2363,2286,2700,2591,2524,2633,2543,2594,-
Czechia,-,-,-,-,-,3004,3165,3096,3197,3502,3323,3485,3415,3759,3951,4090,4619,4539,4524,4536,4694,5026,4916,5121,5432,5827,5633,5564,5839,6488,6308,5853,6414,6376,6617,6778
Denmark,2481,2312,2257,2447,2515,2666,2568,2602,2737,2785,2934,2923,2809,3024,3345,3104,3181,3239,3433,3406,3537,3655,3721,3820,4055,3902,3898,3955,4138,4132,4787,5760,5082,4629,4555,4747
Ecuador*,-,-,-,-,-,-,-,81,94,112,106,115,125,106,132,106,141,153,127,143,187,167,203,211,198,223,229,288,280,289,273,256,306,354,371,-
Estonia,338,314,355,331,372,342,427,377,401,407,410,442,441,463,425,454,498,491,556,537,558,559,539,589,609,619,627,576,612,681,651,620,703,729,709,-
France*,-,-,-,-,-,-,-,-,-,-,2459,2693,2704,2844,2902,2966,3146,3095,3149,3526,3440,3629,3842,4037,4210,4459,4574,4433,4413,4392,4668,4585,4759,4927,3941,-
Germany*,,,,,,,,,,,,,,,,-,-,-,-,-,2121,2078,2110,2167,2330,2128,2093,2094,2244,2321,2482,2751,2659,2522,2468,-
Iceland,73,68,75,87,83,81,84,96,88,115,127,115,111,81,106,109,129,117,98,142,143,145,171,147,150,158,168,171,173,182,206,207,208,215,215,205
India*,-,-,-,-,-,212,236,241,262,269,309,310,303,302,299,333,355,358,386,441,428,478,468,541,572,620,676,716,696,697,699,746,813,851,893,-
Australia,-,-,-,-,5313,5376,5713,5920,6086,6706,6735,7181,7436,8042,8022,8791,9756,10088,9749,10214,10761,10689,11421,11852,12109,11886,12229,12303,12739,12684,13694,13824,14412,14580,15358,16449
Ireland,,,,,,,,,,,,,,,,-,1539,1557,1630,1666,1738,1795,1906,2036,2180,2229,2191,2212,2268,2494,2810,2767,2743,2847,2867,-
Israel,979,973,1076,1028,1203,1086,1251,1219,1289,1258,1407,1583,2115,2180,2313,2486,2455,2678,2730,2952,3272,3330,3375,3268,3428,3289,3385,3486,3462,3615,3707,3817,3895,3921,4155,-
Italy*,-,-,-,-,-,-,-,-,-,-,932,1062,1139,1188,1326,1427,1390,1508,1721,1825,1954,1964,1992,1954,1937,2077,2052,1998,2112,2114,2394,2314,2436,2484,2423,-
Japan*,-,-,-,-,-,-,-,-,-,-,2260,2513,2575,2476,2519,2762,2813,2990,3085,3368,3601,3617,3868,3947,4026,4275,4565,4908,5258,5868,5648,5892,6526,-,-,-
Republic of Korea,,,,,,,,,,,,,,,,-,-,-,-,-,-,3091,3138,3747,4238,4409,4793,5162,5468,5992,6469,6857,7357,7930,8085,-
