,Year,Cancer
0,2000,1151.8995391705203
1,2001,1200.6534562212114
2,2002,1249.4073732719025
3,2003,1298.1612903225935
4,2004,1346.9152073732846
5,2005,1395.6691244239757
6,2006,1444.4230414746667
7,2007,1493.1769585253578
8,2008,1541.930875576049
9,2009,1590.68479262674
10,2010,1639.4387096774312
11,2011,1688.1926267281221
12,2012,1736.9465437788133
13,2013,1785.7004608295044
14,2014,1834.4543778801954
15,2015,1883.2082949308865
16,2016,1931.9622119815776
17,2017,1980.7161290322688
18,2018,2029.47004608296
19,2019,2078.223963133651
